magnificent		壮丽的
magnify		放大，夸大
primeval	原始的
boa constrictor		蟒蛇
swallow		吞咽
prey		猎物
chew		咀嚼
digest		消化
digestion		消化
ponder		沉思，思索
jungle		丛林，尔虞我诈的环境
adventure		冒险
masterpiece		杰作
grown-ups		大人
frighten		使惊吓
hat		帽子
lay		放置
aside		在一边
devote		致力于，奉献
arithmetic		算术
dishearten		灰心丧气，使失去信心
tiresome		讨厌的
profession		职业，专业
pilot		飞行员
glance		一瞥
at a glance		乍一看
distinguish		区分
encounter		遭遇
concern		关心，参与
consequence		结果
intimately		亲密地
I have seen them intimately, close at hand		我亲眼所见，近在咫尺
clear-sighted		明察秋毫的，目明的
experiment		实验
try the experiment of		试一试
politics			政治	
necktie		领带
sensible		明智的，通情达理的
